frame,tipo,outro
473,collision,static.static
476,collision,static.static
477,collision,static.static
478,collision,static.static
479,collision,static.static
480,collision,static.static
481,collision,static.static
482,collision,static.static
483,collision,static.static
484,collision,static.static
485,collision,static.static
486,collision,static.static
487,collision,static.static
488,collision,static.static
489,collision,static.static
490,collision,static.static
491,collision,static.static
492,collision,static.static
493,collision,static.static
494,collision,static.static
495,collision,static.static
496,collision,static.static
497,collision,static.static
498,collision,static.static
499,collision,static.static
500,collision,static.static
501,collision,static.static
502,collision,static.static
503,collision,static.static
504,collision,static.static
505,collision,static.static
506,collision,static.static
507,collision,static.static
508,collision,static.static
509,collision,static.static
510,collision,static.static
511,collision,static.static
512,collision,static.static
513,collision,static.static
514,collision,static.static
515,collision,static.static
516,collision,static.static
517,collision,static.static
518,collision,static.static
519,collision,static.static
520,collision,static.static
521,collision,static.static
522,collision,static.static
523,collision,static.static
524,collision,static.static
525,collision,static.static
526,collision,static.static
527,collision,static.static
528,collision,static.static
529,collision,static.static
530,collision,static.static
531,collision,static.static
532,collision,static.static
533,collision,static.static
534,collision,static.static
535,collision,static.static
536,collision,static.static
537,collision,static.static
538,collision,static.static
539,collision,static.static
540,collision,static.static
541,collision,static.static
542,collision,static.static
543,collision,static.static
544,collision,static.static
545,collision,static.static
546,collision,static.static
547,collision,static.static
548,collision,static.static
549,collision,static.static
550,collision,static.static
551,collision,static.static
552,collision,static.static
553,collision,static.static
554,collision,static.static
555,collision,static.static
556,collision,static.static
557,collision,static.static
558,collision,static.static
559,collision,static.static
560,collision,static.static
561,collision,static.static
562,collision,static.static
563,collision,static.static
564,collision,static.static
565,collision,static.static
566,collision,static.static
567,collision,static.static
568,collision,static.static
569,collision,static.static
570,collision,static.static
571,collision,static.static
572,collision,static.static
573,collision,static.static
574,collision,static.static
575,collision,static.static
576,collision,static.static
577,collision,static.static
578,collision,static.static
579,collision,static.static
580,collision,static.static
581,collision,static.static
582,collision,static.static
583,collision,static.static
584,collision,static.static
585,collision,static.static
586,collision,static.static
587,collision,static.static
588,collision,static.static
589,collision,static.static
590,collision,static.static
591,collision,static.static
592,collision,static.static
593,collision,static.static
594,collision,static.static
595,collision,static.static
596,collision,static.static
597,collision,static.static
598,collision,static.static
599,collision,static.static
600,collision,static.static
601,collision,static.static
602,collision,static.static
603,collision,static.static
604,collision,static.static
605,collision,static.static
606,collision,static.static
607,collision,static.static
608,collision,static.static
609,collision,static.static
610,collision,static.static
611,collision,static.static
612,collision,static.static
613,collision,static.static
614,collision,static.static
615,collision,static.static
616,collision,static.static
617,collision,static.static
618,collision,static.static
619,collision,static.static
620,collision,static.static
621,collision,static.static
622,collision,static.static
623,collision,static.static
624,collision,static.static
625,collision,static.static
626,collision,static.static
627,collision,static.static
628,collision,static.static
629,collision,static.static
630,collision,static.static
631,collision,static.static
632,collision,static.static
633,collision,static.static
634,collision,static.static
635,collision,static.static
636,collision,static.static
637,collision,static.static
638,collision,static.static
639,collision,static.static
640,collision,static.static
641,collision,static.static
642,collision,static.static
643,collision,static.static
644,collision,static.static
645,collision,static.static
646,collision,static.static
647,collision,static.static
648,collision,static.static
649,collision,static.static
650,collision,static.static
651,collision,static.static
652,collision,static.static
653,collision,static.static
654,collision,static.static
655,collision,static.static
656,collision,static.static
657,collision,static.static
658,collision,static.static
659,collision,static.static
660,collision,static.static
661,collision,static.static
662,collision,static.static
663,collision,static.static
664,collision,static.static
665,collision,static.static
666,collision,static.static
667,collision,static.static
668,collision,static.static
669,collision,static.static
670,collision,static.static
671,collision,static.static
672,collision,static.static
673,collision,static.static
674,collision,static.static
675,collision,static.static
676,collision,static.static
677,collision,static.static
678,collision,static.static
679,collision,static.static
680,collision,static.static
681,collision,static.static
682,collision,static.static
683,collision,static.static
684,collision,static.static
685,collision,static.static
686,collision,static.static
687,collision,static.static
688,collision,static.static
689,collision,static.static
690,collision,static.static
691,collision,static.static
692,collision,static.static
693,collision,static.static
694,collision,static.static
695,collision,static.static
696,collision,static.static
697,collision,static.static
698,collision,static.static
699,collision,static.static
700,collision,static.static
701,collision,static.static
702,collision,static.static
703,collision,static.static
704,collision,static.static
705,collision,static.static
706,collision,static.static
707,collision,static.static
708,collision,static.static
709,collision,static.static
710,collision,static.static
711,collision,static.static
712,collision,static.static
713,collision,static.static
714,collision,static.static
715,collision,static.static
716,collision,static.static
717,collision,static.static
718,collision,static.static
719,collision,static.static
720,collision,static.static
721,collision,static.static
722,collision,static.static
723,collision,static.static
724,collision,static.static
725,collision,static.static
726,collision,static.static
727,collision,static.static
728,collision,static.static
729,collision,static.static
730,collision,static.static
731,collision,static.static
732,collision,static.static
733,collision,static.static
734,collision,static.static
735,collision,static.static
736,collision,static.static
737,collision,static.static
738,collision,static.static
739,collision,static.static
740,collision,static.static
741,collision,static.static
742,collision,static.static
743,collision,static.static
744,collision,static.static
745,collision,static.static
746,collision,static.static
747,collision,static.static
748,collision,static.static
749,collision,static.static
750,collision,static.static
751,collision,static.static
752,collision,static.static
753,collision,static.static
754,collision,static.static
755,collision,static.static
756,collision,static.static
757,collision,static.static
758,collision,static.static
759,collision,static.static
760,collision,static.static
761,collision,static.static
762,collision,static.static
763,collision,static.static
764,collision,static.static
765,collision,static.static
766,collision,static.static
767,collision,static.static
768,collision,static.static
769,collision,static.static
770,collision,static.static
771,collision,static.static
772,collision,static.static
773,collision,static.static
774,collision,static.static
775,collision,static.static
776,collision,static.static
777,collision,static.static
778,collision,static.static
779,collision,static.static
780,collision,static.static
781,collision,static.static
782,collision,static.static
783,collision,static.static
784,collision,static.static
785,collision,static.static
786,collision,static.static
787,collision,static.static
788,collision,static.static
789,collision,static.static
790,collision,static.static
791,collision,static.static
792,collision,static.static
793,collision,static.static
794,collision,static.static
795,collision,static.static
796,collision,static.static
797,collision,static.static
798,collision,static.static
799,collision,static.static
800,collision,static.static
801,collision,static.static
802,collision,static.static
803,collision,static.static
804,collision,static.static
805,collision,static.static
806,collision,static.static
807,collision,static.static
808,collision,static.static
809,collision,static.static
810,collision,static.static
811,collision,static.static
812,collision,static.static
813,collision,static.static
814,collision,static.static
815,collision,static.static
816,collision,static.static
817,collision,static.static
818,collision,static.static
819,collision,static.static
820,collision,static.static
821,collision,static.static
822,collision,static.static
823,collision,static.static
824,collision,static.static
825,collision,static.static
826,collision,static.static
827,collision,static.static
828,collision,static.static
829,collision,static.static
830,collision,static.static
831,collision,static.static
832,collision,static.static
833,collision,static.static
834,collision,static.static
