frame,tipo,outro
1472,lane_invasion,[carla.libcarla.LaneMarkingType.Broken]
1473,lane_invasion,[carla.libcarla.LaneMarkingType.NONE]
1719,lane_invasion,[carla.libcarla.LaneMarkingType.NONE]
1763,lane_invasion,[carla.libcarla.LaneMarkingType.NONE]
3858,lane_invasion,[carla.libcarla.LaneMarkingType.NONE]
5651,collision,static.pole
5667,collision,static.pole
5668,collision,static.pole
5669,collision,static.pole
5670,collision,static.pole
5671,collision,static.pole
5672,collision,static.pole
5673,collision,static.pole
5674,collision,static.pole
5675,collision,static.pole
5676,collision,static.pole
5677,collision,static.pole
5678,collision,static.pole
5679,collision,static.pole
5680,collision,static.pole
5681,collision,static.pole
5682,collision,static.pole
5683,collision,static.pole
5684,collision,static.pole
5685,collision,static.pole
5686,collision,static.pole
5687,collision,static.pole
5688,collision,static.pole
5689,collision,static.pole
5690,collision,static.pole
5691,collision,static.pole
5692,collision,static.pole
5693,collision,static.pole
5694,collision,static.pole
5695,collision,static.pole
5696,collision,static.pole
5697,collision,static.pole
5698,collision,static.pole
5699,collision,static.pole
5700,collision,static.pole
5701,collision,static.pole
5702,collision,static.pole
5703,collision,static.pole
5704,collision,static.pole
5705,collision,static.pole
5706,collision,static.pole
5707,collision,static.pole
5708,collision,static.pole
5709,collision,static.pole
5710,collision,static.pole
5711,collision,static.pole
5712,collision,static.pole
5713,collision,static.pole
5714,collision,static.pole
5715,collision,static.pole
5716,collision,static.pole
5717,collision,static.pole
5718,collision,static.pole
5719,collision,static.pole
5720,collision,static.pole
5721,collision,static.pole
5722,collision,static.pole
5723,collision,static.pole
5724,collision,static.pole
5725,collision,static.pole
5726,collision,static.pole
5727,collision,static.pole
5728,collision,static.pole
5729,collision,static.pole
5730,collision,static.pole
5731,collision,static.pole
5732,collision,static.pole
5733,collision,static.pole
5734,collision,static.pole
5735,collision,static.pole
5736,collision,static.pole
5737,collision,static.pole
5738,collision,static.pole
5739,collision,static.pole
5740,collision,static.pole
5741,collision,static.pole
5742,collision,static.pole
5743,collision,static.pole
5744,collision,static.pole
5745,collision,static.pole
5746,collision,static.pole
5747,collision,static.pole
5748,collision,static.pole
5749,collision,static.pole
5750,collision,static.pole
5751,collision,static.pole
5752,collision,static.pole
5753,collision,static.pole
5754,collision,static.pole
5755,collision,static.pole
5756,collision,static.pole
5757,collision,static.pole
5758,collision,static.pole
5759,collision,static.pole
5760,collision,static.pole
5761,collision,static.pole
5762,collision,static.pole
5763,collision,static.pole
5764,collision,static.pole
5765,collision,static.pole
5766,collision,static.pole
5767,collision,static.pole
5768,collision,static.pole
5769,collision,static.pole
5770,collision,static.pole
5771,collision,static.pole
5772,collision,static.pole
5773,collision,static.pole
5774,collision,static.pole
5775,collision,static.pole
5776,collision,static.pole
5777,collision,static.pole
5778,collision,static.pole
5779,collision,static.pole
5780,collision,static.pole
5781,collision,static.pole
5782,collision,static.pole
5783,collision,static.pole
5784,collision,static.pole
5785,collision,static.pole
5786,collision,static.pole
5787,collision,static.pole
5788,collision,static.pole
5789,collision,static.pole
5790,collision,static.pole
5791,collision,static.pole
5792,collision,static.pole
5793,collision,static.pole
5794,collision,static.pole
5795,collision,static.pole
5796,collision,static.pole
5797,collision,static.pole
5798,collision,static.pole
5799,collision,static.pole
5800,collision,static.pole
5801,collision,static.pole
5802,collision,static.pole
5803,collision,static.pole
5804,collision,static.pole
5805,collision,static.pole
5806,collision,static.pole
5807,collision,static.pole
5808,collision,static.pole
5809,collision,static.pole
5810,collision,static.pole
5811,collision,static.pole
5812,collision,static.pole
5813,collision,static.pole
5814,collision,static.pole
5815,collision,static.pole
5816,collision,static.pole
5817,collision,static.pole
5818,collision,static.pole
5819,collision,static.pole
5820,collision,static.pole
5821,collision,static.pole
5822,collision,static.pole
5823,collision,static.pole
